Model Details of Sentiment ML Model
Model Details of Deeplearning Model
model_name,Min value,Max value,Mean,Standard deviation,Range,Test accuracy,True positive rate,False positive rate,true positive,true negative,false positive,false negative,Precision,Recall,F1_score
Deep Learning Sentiment Model,0,1,0.6073638652231605,0.48833697427528766,1,0.6574029291764326,0.7268284390803621,0.43991064780342515,34206,18805,14770,12856,0.6984237177393009,0.7268284390803621,0.7123430308836086
Deep_Learning_Genineness_Model,0,1,0.8796582214120069,0.32536077654547046,1,0.5000682069025385,0.8789416365526459,0.8803777805393315,35511,4813,35422,4891,0.5006273525721455,0.8789416365526459,0.6379126060987111
Deep_Learning_Genineness_Model,0,1,0.8796582214120069,0.32536077654547046,1,0.5000682069025385,0.8789416365526459,0.8803777805393315,35511,4813,35422,4891,0.5006273525721455,0.8789416365526459,0.6379126060987111
